,name,address,city,state,postal_code,stars,review_count,is_open,attributes,categories,hours
7081,Caf̩ Jaffa,48 Gloucester St,Boston,MA,02115,3.5,365,0,"{'RestaurantsAttire': ""'casual'"", 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'BYOBCorkage': ""'no'"", 'Alcohol': ""'beer_and_wine'"", 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'RestaurantsTableService': 'True'}","['Restaurants', 'Salad', 'MiddleEastern', 'Sandwiches']","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30'}"
7309,Betty's Wok & Noodle Diner,250 Huntington Ave,Boston,MA,02115,3.0,162,0,"{'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'Alcohol': ""'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BYOBCorkage': ""'no'"", 'RestaurantsAttire': ""'casual'"", 'WiFi': ""u'no'"", 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True'}","['Restaurants', 'LatinAmerican', 'Chinese', 'AsianFusion']","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}"
7317,Wings Over Boston,325 Huntington Ave,Boston,MA,02115,2.5,181,1,"{'WiFi': ""u'no'"", 'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True'}","['American(Traditional)', 'ChickenWings', 'Restaurants', 'American(New)', 'FastFood', 'Sandwiches']","{'Monday': '16:0-0:0', 'Tuesday': '16:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-0:0'}"
7326,Boston Shawarma Restaurant,226 Washington St,Boston,MA,02115,3.5,65,0,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'Alcohol': ""'none'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'WiFi': ""'no'"", 'HasTV': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True'}","['Arabian', 'Restaurants', 'Lebanese', 'MiddleEastern']","{'Monday': '10:30-22:30', 'Tuesday': '10:30-22:30', 'Wednesday': '10:30-22:30', 'Thursday': '10:30-22:30', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '10:30-22:30'}"
7365,Energize,265 Massachusetts Ave,Boston,MA,02115,4.5,59,1,"{'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True'}","['Salad', 'Food', 'Restaurants', 'AcaiBowls', 'Vegan', 'JuiceBars&Smoothies']","{'Tuesday': '8:0-14:30', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-16:0', 'Sunday': '10:0-16:0'}"
7514,Forty Dalton,40 Dalton St,Boston,MA,02115,2.5,24,1,"{'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'average'"", 'Alcohol': ""'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True'}","['American(Traditional)', 'Restaurants']","{'Monday': '6:30-0:0', 'Tuesday': '6:30-0:0', 'Wednesday': '6:30-0:0', 'Thursday': '6:30-0:0', 'Friday': '6:30-0:0', 'Saturday': '7:0-0:0', 'Sunday': '7:0-0:0'}"
7752,Dosa Factory - Boston,316 Newbury St,Boston,MA,02115,2.5,182,0,"{'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'Caters': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""'beer_and_wine'"", 'WiFi': ""u'no'""}","['EventPlanning&Services', 'Indian', 'Restaurants', 'Caterers']","{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:30'}"
8045,Deuxave,371 Commonwealth Ave,Boston,MA,02115,4.0,546,1,"{'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'dressy'"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'True', 'Smoking': ""u'no'"", 'RestaurantsPriceRange2': '3', 'RestaurantsTableService': 'True', 'CoatCheck': 'True', 'WheelchairAccessible': 'True'}","['Bars', 'Restaurants', 'American(New)', 'Nightlife', 'French']","{'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}"
8340,Cafe G,25 Evans Way,Boston,MA,02115,4.0,100,1,"{'Alcohol': ""u'beer_and_wine'"", 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True'}","['American(New)', 'Food', 'Coffee&Tea', 'French', 'Nightlife', 'Restaurants', 'Bars']","{'Monday': '11:0-17:0', 'Wednesday': '11:0-17:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-17:0', 'Sunday': '11:0-17:0'}"
9315,Bangkok City,167 Massachusetts Ave,Boston,MA,02115,4.0,127,0,"{'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""'beer_and_wine'"", 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'WiFi': ""u'no'""}","['Restaurants', 'Thai']","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30'}"
9399,Thornton's,150 Huntington Ave,Boston,MA,02115,3.5,530,1,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""'none'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'NoiseLevel': ""u'average'"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","['Restaurants', 'Cafes', 'Diners', 'Coffee&Tea', 'Food', 'Breakfast&Brunch']","{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}"
9480,The Squealing Pig,134 Smith St,Boston,MA,02120,3.5,410,1,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'BYOBCorkage': ""'no'"", 'Alcohol': ""'full_bar'"", 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'BikeParking': 'True', 'Smoking': ""u'no'"", 'HappyHour': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'True'}","['Food', 'Restaurants', 'Breakfast&Brunch', 'Bars', 'Pubs', 'Irish', 'IrishPub', 'Nightlife']","{'Monday': '7:0-1:0', 'Tuesday': '7:0-1:0', 'Wednesday': '7:0-1:0', 'Thursday': '7:0-1:0', 'Friday': '7:0-1:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-1:0'}"
9492,Sushiemon,201 Massachusetts Ave,Boston,MA,02115,4.0,74,0,"{'NoiseLevel': ""u'quiet'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'Alcohol': ""'none'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'HappyHour': 'True', 'RestaurantsGoodForGroups': 'True'}","['Desserts', 'SushiBars', 'Food', 'Restaurants', 'Japanese']","{'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '15:0-22:0'}"
9892,Cappy's II,309 Huntington Ave,Boston,MA,02115,3.0,39,0,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'no'"", 'HasTV': 'True'}","['Pizza', 'Sandwiches', 'Restaurants']","{'Monday': '7:30-1:0', 'Tuesday': '7:30-1:0', 'Wednesday': '7:30-1:0', 'Thursday': '7:30-1:0', 'Friday': '7:30-1:0', 'Saturday': '7:30-1:0', 'Sunday': '7:30-1:0'}"
9958,Charley's Eating & Drinking Saloon,284 Newbury St,Boston,MA,02115,3.5,263,0,"{'HasTV': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""'full_bar'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'BYOBCorkage': ""'no'""}","['Breakfast&Brunch', 'American(Traditional)', 'Restaurants']","{'Monday': '11:30-0:30', 'Tuesday': '11:30-0:30', 'Wednesday': '11:30-0:30', 'Thursday': '11:30-0:30', 'Friday': '11:30-1:30', 'Saturday': '9:0-1:30', 'Sunday': '9:0-0:0'}"
10161,Which Wich,324 Newbury St,Boston,MA,02115,2.5,24,1,"{'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True'}","['Sandwiches', 'Restaurants', 'Vegan', 'EventPlanning&Services', 'Caterers']","{'Monday': '10:30-20:0', 'Tuesday': '10:30-20:0', 'Wednesday': '10:30-20:0', 'Thursday': '10:30-20:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-20:0'}"
10271,Solid Ground Cafe,742 Huntington Ave,Boston,MA,02115,5.0,56,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'BikeParking': 'True'}","['Sandwiches', 'Coffee&Tea', 'Food', 'Restaurants', 'Cafes']","{'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
10482,The Mission Bar & Grill,724 Huntington Ave,Boston,MA,02120,3.5,335,1,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'no'"", 'Alcohol': ""'full_bar'"", 'NoiseLevel': ""u'average'"", 'HappyHour': 'True', 'Smoking': ""u'no'"", 'OutdoorSeating': 'True'}","['Restaurants', 'Bars', 'Nightlife', 'American(New)']","{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '9:0-0:0', 'Sunday': '9:0-0:0'}"
10941,Mississippi's Restaurant,103 Terrace St,Roxbury Crossing,MA,02120,4.0,6,0,"{'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True'}","['Restaurants', 'Caterers', 'EventPlanning&Services']","{'Monday': '7:0-15:30', 'Tuesday': '7:0-15:30', 'Wednesday': '7:0-15:30', 'Thursday': '7:0-15:30', 'Friday': '7:0-15:30'}"
11348,Bukowski Tavern,50 Dalton St,Boston,MA,02115,3.5,695,1,"{'HasTV': 'True', 'Alcohol': ""u'beer_and_wine'"", 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'HappyHour': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True'}","['Restaurants', 'Bars', 'Nightlife', 'Pubs', 'American(Traditional)', 'DiveBars']","{'Tuesday': '16:0-1:0', 'Wednesday': '16:0-1:0', 'Thursday': '16:0-1:0', 'Friday': '12:0-1:0', 'Saturday': '12:0-1:0', 'Sunday': '12:0-1:0'}"
11451,Sprout,305 Huntington Ave,Boston,MA,02115,4.5,13,1,"{'Caters': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'RestaurantsDelivery': 'True'}","['Food', 'Salad', 'EventPlanning&Services', 'Caterers', 'Restaurants']","{'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30'}"
11491,Towne Stove and Spirits,900 Boylston St,Boston,MA,02115,3.0,595,0,"{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'dressy'"", 'RestaurantsPriceRange2': '3', 'Alcohol': ""u'full_bar'"", 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'RestaurantsTableService': 'True'}","['Breakfast&Brunch', 'Restaurants', 'American(New)']","{'Monday': '11:0-23:0', 'Tuesday': '11:30-2:0', 'Wednesday': '11:30-2:0', 'Thursday': '11:30-2:0', 'Friday': '11:30-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
11712,Crossroads Irish Pub,495 Beacon St,Boston,MA,02115,3.5,167,0,"{'BYOBCorkage': ""'yes_free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'full_bar'"", 'WiFi': ""u'no'"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsReservations': 'True'}","['Sandwiches', 'Nightlife', 'Bars', 'Irish', 'Restaurants', 'DiveBars', 'Pubs']","{'Monday': '16:0-2:0', 'Tuesday': '16:0-2:0', 'Wednesday': '16:0-2:0', 'Thursday': '16:0-2:0', 'Friday': '16:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
11943,T Sushi Wraps & Noodles,350 Longwood Ave,Boston,MA,02115,3.5,21,1,"{'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'very_loud'"", 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","['SushiBars', 'Restaurants', 'Wraps', 'Noodles', 'Japanese']","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
12024,Cornish Pasty,51 Massachusetts Ave,Boston,MA,02115,4.5,281,1,"{'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'GoodForKids': 'True', 'Smoking': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'""}","['SpecialtyFood', 'Bakeries', 'Food', 'British', 'Vegetarian', 'Italian', 'Cafes', 'Mexican', 'Caterers', 'CocktailBars', 'Pubs', 'Vegan', 'Restaurants', 'Nightlife', 'EventPlanning&Services', 'Bars', 'Soup', 'Salad']","{'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}"
12035,Boston Shawarma,315 Huntington Ave,Boston,MA,02115,4.0,563,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'BikeParking': 'True', 'WiFi': ""'no'"", 'BYOBCorkage': ""'yes_free'"", 'DogsAllowed': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True'}","['Sandwiches', 'MiddleEastern', 'Desserts', 'Halal', 'Lebanese', 'Mediterranean', 'Food', 'FastFood', 'Restaurants']","{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
12423,Sonsie,327 Newbury St,Boston,MA,02115,3.5,1314,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsTableService': 'True', 'BYOBCorkage': ""'no'"", 'WheelchairAccessible': 'True', 'Alcohol': ""'full_bar'"", 'CoatCheck': 'True', 'Smoking': ""u'no'"", 'HasTV': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'True'}","['American(New)', 'Nightlife', 'Bars', 'WineBars', 'Lounges', 'French', 'Restaurants', 'Breakfast&Brunch']","{'Monday': '9:30-1:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '8:0-23:0', 'Friday': '11:30-23:0', 'Saturday': '10:0-22:0', 'Sunday': '9:30-2:0'}"
12705,Laughing Monk Cafe,737 Huntington Ave,Boston,MA,02115,4.5,244,1,"{'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'True', 'RestaurantsReservations': 'True', 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'OutdoorSeating': 'True'}","['Japanese', 'SushiBars', 'Restaurants', 'Thai', 'AsianFusion']","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}"
13208,Bottega Fiorentina,264 Newbury St,Boston,MA,02115,3.0,70,0,"{'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True', 'NoiseLevel': ""u'quiet'"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","['Italian', 'Restaurants']","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}"
13227,The Pour House,907 Boylston St,Boston,MA,02115,3.5,1132,0,"{'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsAttire': ""'casual'"", 'Smoking': ""u'no'"", 'BYOBCorkage': ""'no'"", 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'HappyHour': 'True'}","['Nightlife', 'American(Traditional)', 'American(New)', 'Restaurants', 'Bars']","{'Monday': '8:0-2:0', 'Tuesday': '8:0-2:0', 'Wednesday': '8:0-2:0', 'Thursday': '8:0-2:0', 'Friday': '8:0-2:0', 'Saturday': '8:0-2:0', 'Sunday': '8:0-2:0'}"
13286,Caf̩ 47,47 Massachusetts Ave,Boston,MA,02115,3.5,126,0,"{'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'beer_and_wine'"", 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'Caters': 'True', 'HasTV': 'True'}","['Italian', 'American(New)', 'Restaurants', 'Burgers', 'Pizza']","{'Monday': '16:30-23:0', 'Tuesday': '16:30-23:0', 'Wednesday': '16:30-23:0', 'Thursday': '16:30-23:0', 'Friday': '11:30-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}"
14056,The Other Side Cafe,407 Newbury St,Boston,MA,02115,3.5,672,0,"{'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'Alcohol': ""'beer_and_wine'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True', 'BYOBCorkage': ""'no'"", 'NoiseLevel': ""u'average'""}","['Breakfast&Brunch', 'Vegetarian', 'Vegan', 'American(Traditional)', 'Restaurants', 'Food', 'LocalFlavor', 'Sandwiches', 'Bars', 'Nightlife', 'Beer', 'Wine&Spirits']","{'Monday': '11:30-0:0', 'Tuesday': '11:30-0:0', 'Wednesday': '11:30-0:0', 'Thursday': '11:30-0:0', 'Friday': '11:30-1:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-0:0'}"
14578,FoMu Ice Cream,140 Brookline Ave,Boston,MA,02115,4.5,21,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","['Restaurants', 'Vegan', 'Food', 'Desserts', 'IceCream&FrozenYogurt']","{'Monday': '13:0-21:0', 'Tuesday': '13:0-21:0', 'Wednesday': '13:0-21:0', 'Thursday': '13:0-21:0', 'Friday': '13:0-21:0', 'Saturday': '13:0-21:0', 'Sunday': '13:0-21:0'}"
14714,Love Art Sushi,1 Haviland St,Boston,MA,02115,4.0,312,1,"{'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'RestaurantsAttire': ""'casual'"", 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""'none'"", 'HappyHour': 'True', 'NoiseLevel': ""u'average'""}","['Hawaiian', 'BubbleTea', 'Poke', 'Food', 'Restaurants', 'Japanese', 'SushiBars']","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-22:0'}"
15017,Blazing Paddles,82 Lansdowne St,Boston,MA,02115,2.5,30,1,"{'Smoking': ""u'no'"", 'HasTV': 'True', 'OutdoorSeating': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'CoatCheck': 'True', 'WheelchairAccessible': 'True', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Alcohol': ""u'full_bar'""}","['ActiveLife', 'Nightlife', 'American(New)', 'Restaurants', 'Tennis', 'SportsBars', 'Bars']","{'Monday': '11:0-1:0', 'Tuesday': '11:0-1:0', 'Wednesday': '11:0-1:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-1:0'}"
